Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A,Fault_Code,Fault_Type
0.8067127285022535,0.022735498349518272,0.024030019230304518,0.3030562238308927,-0.8263414946369058,0.5530564840011208,1,0,0,1,1001,LG Fault
0.05479162083382732,0.036646094357474186,-0.10020938601617937,-0.17799545274008222,0.9403369112819785,-0.7648203161788827,0,0,0,0,0000,No Fault
0.8887321199114122,-0.042796002147676204,-0.8410749854165159,0.07793100283072688,-0.07830954337607436,0.01655155181321298,0,1,1,1,0111,LLL Fault
0.6659177855386036,0.08455002115909666,-0.05048272673332123,-0.5070804187443829,0.4438640591858329,0.07103129381767359,1,0,0,1,1001,LG Fault
-0.06545315003276207,0.10759479247288972,-0.05171114443244959,-0.784915417837308,-0.12282747475418251,0.9270482512770678,0,0,0,0,0000,No Fault
0.6508980508021621,-0.963426106378146,0.3180823318744111,-0.004843084203220327,-0.05854610245532225,0.07940660309624285,0,1,1,1,0111,LLL Fault
0.22087558794491452,-0.9364619692593456,0.7173665438376908,-0.03215051036129963,-0.028450002351704598,0.07611920474750687,0,1,1,1,0111,LLL Fault
0.028025735980493224,0.07909056401582298,-0.1159818565427255,-0.6999360831103384,0.9694517725575128,-0.27116329047939264,0,0,0,0,0000,No Fault
-0.10119158354970782,-0.052860400211450526,0.04539085852726744,0.6494771545929575,-0.8971677528337276,0.2778874249551138,1,0,0,1,1001,LG Fault
-0.7438546310658412,0.3661169862757692,0.3655488019545849,-0.05434617733369006,0.04919560774869425,0.019254662229458458,1,1,1,1,1111,LLLG Fault
-0.0740125942620876,0.0984052076594952,-0.027912971061457712,-0.7425371172173896,-0.08473597058427393,0.8457432499661036,0,1,1,0,0110,LL Fault
-0.5854268361193882,-0.3989886716795241,0.9753311295667256,-0.048106796154786,0.026345070357468393,0.03628290058042475,1,1,1,1,1111,LLLG Fault
-0.993543262755707,0.5880975314784911,0.3921071667805902,-0.004722211585446778,0.05177392947882703,-0.03312811115785129,0,1,1,1,0111,LLL Fault
-0.06652189370917881,0.10545464305074956,-0.048377255176448766,-0.7644566993948132,-0.15439963897326944,0.938706585822487,0,0,0,0,0000,No Fault
0.046431165698063506,-0.018552974747453366,-0.03657178613704877,0.7419371962334067,0.21602059005281388,-0.9491305339078772,0,0,0,0,0000,No Fault
-0.026585321709114765,0.11172161247169289,-0.09466816317711872,-0.9981939990236792,0.5035320156479947,0.5026466515710641,0,0,0,0,0000,No Fault
-0.7377558685244808,-0.18240303193109533,-0.06310382366767528,-0.04425387949712943,0.5924575498828534,-0.5444355565879092,1,0,1,1,1011,LLG Fault
0.9383128029078955,-0.1670913891349765,-0.7679351444031539,0.07246889955282607,-0.08142215990143185,0.02519981758411176,1,1,1,1,1111,LLLG Fault
0.04293694712331599,-0.02059090502677459,-0.031065069099465676,0.7915652965435456,0.14007463988166288,-0.9215030663684936,0,0,0,0,0000,No Fault
-0.7489356378551174,0.228610643622218,0.5083964853873951,0.14130683063150645,-0.001169403516836219,-0.1255962878332584,1,1,1,1,1111,LLLG Fault
-0.7721997856214676,0.9304760681811606,-0.17078114235942315,0.035052625798299125,0.03510818952567312,-0.05602640229390296,0,1,1,1,0111,LLL Fault
0.021560364866863527,0.08282490524788703,-0.11342788601992435,-0.772119100074843,0.9344428952073748,-0.1631156797903889,0,0,0,0,0000,No Fault
-0.06702985461380503,-0.06446564170530196,0.12843226575873387,-0.7928331532059254,-0.0836734122712216,0.8950899090176605,0,1,1,0,0110,LL Fault
0.03524403665417045,0.3383355236234272,-0.3767097231475457,0.8440353358309536,0.04532224761136838,-0.8775617492457152,0,1,1,0,0110,LL Fault
0.05618249454856825,-0.013295486200891174,-0.0477714565462654,0.6393130331338405,0.3506252699475035,-0.9833933039869802,0,0,0,0,0000,No Fault
-0.05102072963827583,0.8784783811452852,-0.8330556403201159,0.19495003623296353,-0.028264817699797995,-0.15177212304302712,0,1,1,0,0110,LL Fault
0.9813342372944162,-0.41340966297899984,-0.013915356962221046,0.059036870696603544,-0.5123919265424332,0.4778155324453149,1,1,1,1,1111,LLLG Fault
0.32097093271533533,-0.9680106358949022,-0.06465023879816273,-0.02684669797971246,0.18757650974555107,-0.14932461200752323,1,0,1,1,1011,LLG Fault
0.08062350845023021,-0.9013366543353883,0.8213587955333673,-0.037095676634585226,-0.01928069032515517,0.07173416944130576,0,1,1,1,0111,LLL Fault
-0.04079714385782576,0.0037149431776614113,0.027682517129247325,0.7970130439778557,-0.882997322419497,0.11552105675081861,0,0,0,0,0000,No Fault
0.9336141943036076,-0.1509066175837675,-0.7771189760517626,0.07320912263518536,-0.08111124407234117,0.024140816112539196,0,1,1,1,0111,LLL Fault
-0.0353717778973134,0.8778756428077809,0.052377200933171844,0.0814433624995291,-0.3795769905906384,0.3200143352328541,1,0,1,1,1011,LLG Fault
0.9363220829348933,-0.2072912538832946,0.009462750056680718,0.07082506089632831,-0.582787523698929,0.5377275523863242,1,1,1,1,1111,LLLG Fault
-0.9245557623067732,0.7875272802428283,0.12357053424076261,0.014366623219202505,0.04627326046702807,-0.04666250277925462,0,1,1,1,0111,LLL Fault
0.0028935691777589954,-0.020868709192093163,0.008897844842334177,0.9933857370743562,-0.48164623828213277,-0.4903395871474143,0,0,0,0,0000,No Fault
0.02456137512951483,0.47259914938903297,-0.5007011444039331,0.8222973224293468,0.03915488698949,-0.8494817089555159,0,1,1,0,0110,LL Fault
0.3496125873935796,0.6340815188287271,-0.9856067718761186,0.09001326662335586,-0.04266992419513671,-0.03187868109825782,0,1,1,1,0111,LLL Fault
0.8179886511351899,-0.8881902887888576,0.07471830634039842,0.012053115460187688,-0.0705539566219865,0.07470133023552712,1,1,1,1,1111,LLLG Fault
-0.08039880892237335,0.4363459817398502,-0.36055274307772395,-0.5449456937506272,-0.07833327362875765,0.641103779950253,0,1,1,0,0110,LL Fault
-0.032406037478162605,0.11465633860794777,-0.09198251305338091,-0.9956867309584847,0.4365188161423901,0.5684176151521115,0,0,0,0,0000,No Fault
